network,app,contract_address,token_symbol,value
eth,horizon,,eth,0.18450599999999998
bsc,horizon,,bsc,0.5874780000000004
matic,horizon,,matic,4.799999999999999
eth,horizon,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usdc,94.2
bsc,horizon,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,busd,60.3
avax,horizon,,avax,0.015
opt,horizon,0x4200000000000000000000000000000000000042,op,0.8999999999999999
eth,horizon,0xab85fc558d722a2b7c040ffb77db676bd9e7d322,moros,1500.0
eth,horizon,0x80122c6a83c8202ea365233363d3f4837d13e888,m87,13500000.0
matic,horizon,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,usdc,0.3
SOL,horizon,,sol,0.051000000000000004
dione,horizon,,dione,1.056
eth,horizon,0x369733153e6e08d38f2bc72ae2432e855cfbe221,xalpha,0.3
sol,horizon,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,trump,0.009000000000000001
ERC20,adastra,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,0.6589999999999999
ERC20,openhatch,0xdAC17F958D2ee523a2206206994597C13D831ec7,ERC20,14.32
ERC20,openhatch,0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,ERC20,2.4
ERC20,openhatch,0x80122c6a83c8202ea365233363d3f4837d13e888,ERC20,33.0
ERC20,openhatch,0xf0f9D895aCa5c8678f706FB8216fa22957685A13,ERC20,3.0
ERC20,openhatch,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ERC20,0.2
ERC20,p2p,0x283344eea472f0fe04d6f722595a2fffefe1901a,$CODE,541216842.9502972
ERC20,p2p,,ETH,2.2001494606969945
ERC20,p2p,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,3280.2606486336263
ERC20,p2p,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,5868.990931607977
ERC20,p2p,0x80122c6a83c8202ea365233363d3f4837d13e888,M87,70758305.58664326
ERC20,p2p,0xb2617246d0c6c0087f18703d576831899ca94f01,ZIG,9.512699999999999
ERC20,p2p,0x6019dcb2d0b3e0d1d8b0ce8d16191b3a4f93703d,QF,78.27051043330813
ERC20,p2p,0xa059b81568fee88791de88232e838465826cf419,THREE,456.9009216867724
ERC20,p2p,0x520140d71129434635899eca07f845bb23b27987,VIRTU,43526.35346961489
ERC20,p2p,0x369733153E6E08d38F2BC72ae2432E855Cfbe221,XALPHA,4314.024996897197
ERC20,p2p,0xda558a295e8d2c1438f7b4806e283940dec7e6db,TRACK,25075.20511203798
ERC20,p2p,0xC82E3dB60A52CF7529253b4eC688f631aad9e7c2,ARC,5737.224528649663
ERC20,p2p,0x9Cf0ED013e67DB12cA3AF8e7506fE401aA14dAd6,SPECTRE,204.56112422966723
ERC20,p2p,0xe9EccDE9d26FCBB5e93F536CFC4510A7f46274f8,INFRA,5.968950109359443
ERC20,p2p,0x97c0acfd62ba29f70b6fe272efaae0942c8263b5,LPU,17180.859999999997
ERC20,p2p,0xcf0C122c6b73ff809C693DB761e7BaeBe62b6a2E,FLOKI,133234.7546999
ERC20,p2p,0x443459d45c30a03f90037d011cbe22e2183d3b12,TYPE,24.568181818181817
ERC20,p2p,0xd9641fc2826ecc9bebf4f3852fe4ed92a5239f02,AVENT,102083.94098971461
ERC20,p2p,0x92f419fb7a750aed295b0ddf536276bf5a40124f,TATSU,8.876083023407265
ERC20,p2p,0x09675e24CA1EB06023451AC8088EcA1040F47585,APES,1272.2999998
ERC20,p2p,0xcb39637e7c03c2ac25405adb8d95035f2668b0d6,ALGT,1999.9999999000001
ERC20,p2p,0xde7e34ad87bfc5d5906f334661110eb438af718b,OF,76.14660674830712
ERC20,p2p,0xD4F4D0a10BcaE123bB6655E8Fe93a30d01eEbD04,LNQ,1428.31551165059
ERC20,p2p,0x78965b1c638a7ff408d1697a96d7b8e47bb7c75f,CPAL,1837.9981952525466
ERC20,p2p,0xbEc771D15F7E67bC0bb4571c7Eb409228cC6FeF9,BRAI,881.2999999000001
ERC20,p2p,0xeda8db2f0f8f00f0aedd6fdd756402ed86cd002f,OPM,4914.594134062722
ERC20,p2p,0x8e729198d1c59b82bd6bba579310c40d740a11c2,ALVA,1453.3587862102568
ERC20,p2p,0xa74a05b17d72e9b0781d973e7963dfaacd266b94,OASIS,259004.09104059468
