status,state,title,type,voteType,creator_address,creator_username,currency_symbol,currency_address,signers,neededSign,cycle,approves
succeeded,succeeded,ChainLink Token,classic,multi,0xf2a79C9c6f754B2a538836046CDf135C1B11a44f,stolidslag,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,"[{'address': '0x209a9021993D50Bd767783563C4a9c0cbc601199', 'username': 'ruddyoiler'}, {'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}, {'address': '0x1B69c4A788aD8f940e624341AB45c731D01190De', 'username': 'highgaze'}, {'address': '0x90c1E0f24B717cc09353e8DF3f6F2A0dE90A0962', 'username': 'fortuitouspenumbra'}, {'address': '0x235Fa4Bf4ef3564a85bb34C74929A3F8c62b298F', 'username': 'undulatingmustang'}, {'address': '0x385Aa6a979e9318d07D9318DfF593d9d51AF6703', 'username': 'regulatedriverbank'}, {'address': '0x2c738e7161A072BaD6f5b9a5995D1eAeA5582813', 'username': 'assignedstunner'}]",7,0,"[{'address': '0x8E92A16A4c93964c11729A839C47C73B1C08E375', 'username': 'readablebunk'}, {'address': '0x9e5320b6cE24A2b644977a424b1c77560e372087', 'username': 'deferredabscess'}, {'address': '0x7F3e00b2094EdfBcDB983cEC3d27290387399B98', 'username': 'materialisticsuperstition'}, {'address': '0x93CaE41DAc072F62e9A8E191f180F15F3AfA44B6', 'username': 'centre-firesnarl'}, {'address': '0x4328BCFE77b185B26Ab63D102Ab94CC65B214BB4', 'username': 'swellingmystification'}, {'address': '0xb331dc13d42C84e4568b5eFBf395ed898dC076Ff', 'username': 'unwantedskyscraper'}, {'address': '0x8c4b072A239350AA0C73B6D8db5219442b877a6d', 'username': 'associatedburp'}, {'address': '0xFc0A1921c05240fdCA5781D0980bd42c9CeCa416', 'username': 'causalburglary'}, {'address': '0xC105729E5c85DE7df03e55856f371e8E7eCE096A', 'username': 'undevelopedhalloo'}, {'address': '0xa18dfbB38a2ad3664F10cA8f9632337322E700B5', 'username': 'totalitarianwatching'}, {'address': '0x5E560c3Ce4BC11B26b176da6cD6A16099A649fb1', 'username': 'paradoxicaldroplet'}, {'address': '0x8B130Dc7A75f24Be64486b03C90CbBc178196c07', 'username': 'geologicalcrucifix'}, {'address': '0x97be3550DBEE58d1ddbC8704A038bAA9350f44E1', 'username': 'inexplicablemoral'}, {'address': '0x7e47dC1bCFE29640262Edb39BE4663C19BccefC9', 'username': 'fertilizedbreach'}, {'address': '0xafdA56c09d3162275C251DAD4762a4dcF47391A2', 'username': 'punypleasure'}, {'address': '0xBF9FE9379CE3BFfa603eD5B42FaeF6e524091044', 'username': 'high-poweredincrease'}, {'address': '0xe6EcB12EC9a52364f94C8a86aD7274f4b2eDC102', 'username': 'variousrebate'}, {'address': '0x0DE8056764Ad8958f34054f11a94ae6CCBf149a0', 'username': 'unsavoryinstallation'}, {'address': '0xCD1EfBAC8e37E92268bA83903026a6C34b3803Db', 'username': 'transientnotary'}, {'address': '0x36cdea36b4d2CAee0d85F36020D955F31D3279a7', 'username': 'perceivedsalver'}, {'address': '0x99888Acb9BB6603c272B8687ac1C0c4078715575', 'username': 'unseemlyschoolgirl'}, {'address': '0x131520ea37aFD807178774E69DE4E3Ff8E0738F7', 'username': 'pent-uprebel'}, {'address': '0xb2890992e7152106f70176adf93a7CFEdB246880', 'username': 'raggedoffence'}, {'address': '0x2a537A9b374D87c0c8b95e18414b48e576EeE902', 'username': 'resonantthrashing'}, {'address': '0xfFa5Aeba892602A8069c9417A2e95cb0498DdF42', 'username': 'fiercejug'}, {'address': '0x8DCF0b0A0D003987BBD0246523d9886dd13abbfC', 'username': 'vaudevillefour-year-old'}]"
failed,rejected,Yieldification YDF,classic,multi,0x50e78376E84f4B45285f7d33a145C4849Ed3354d,soothingcandy,YDF,0x30dcba0405004cf124045793e1933c798af9e66a,"[{'address': '0x50e78376E84f4B45285f7d33a145C4849Ed3354d', 'username': 'soothingcandy'}]",7,4,[]
failed,rejected,PaladinAi,classic,multi,0xe9FFeC8cF81e3c3f3b0ca545A26e8f6d2E9c98fe,full-fledgedhistory,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,"[{'address': '0xe9FFeC8cF81e3c3f3b0ca545A26e8f6d2E9c98fe', 'username': 'full-fledgedhistory'}]",7,4,[]
succeeded,succeeded,Reduce the voting time. ,dao,multi,0x2c738e7161A072BaD6f5b9a5995D1eAeA5582813,assignedstunner,M87,0x80122c6a83c8202ea365233363d3f4837d13e888,"[{'address': '0x2c738e7161A072BaD6f5b9a5995D1eAeA5582813', 'username': 'assignedstunner'}, {'address': '0x1B69c4A788aD8f940e624341AB45c731D01190De', 'username': 'highgaze'}, {'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}, {'address': '0xbbc96d4A68c19b3f23c96d9311E52d6425D333A6', 'username': 'stupendousecosystem'}, {'address': '0x5B0D8d68ee7C30aE1c183c027Fea8AA808E019dc', 'username': 'archedupheaval'}, {'address': '0x385Aa6a979e9318d07D9318DfF593d9d51AF6703', 'username': 'regulatedriverbank'}, {'address': '0x1CC1C54314c7feC2c3020a40a6cD9D1C4A44ED90', 'username': 'allegedmist'}, {'address': '0xaF2cc2741aFa212bE9FE80A3B853e3Fe48cb4eA2', 'username': 'lurkinggarnet'}]",7,6,"[{'address': '0xCD1EfBAC8e37E92268bA83903026a6C34b3803Db', 'username': 'transientnotary'}, {'address': '0xBF9FE9379CE3BFfa603eD5B42FaeF6e524091044', 'username': 'high-poweredincrease'}]"
succeeded,succeeded,Temporarily Shorten the Supernova Cycle to 10,dao,multi,0x385Aa6a979e9318d07D9318DfF593d9d51AF6703,regulatedriverbank,M87,0x80122c6a83c8202ea365233363d3f4837d13e888,"[{'address': '0x385Aa6a979e9318d07D9318DfF593d9d51AF6703', 'username': 'regulatedriverbank'}, {'address': '0xf7a98C388D089dCcFba8FC0764ED90d701C86E25', 'username': 'scrapingborough'}, {'address': '0x6f95D33E515C1aBc98dB3516e302b8FE3c20E56E', 'username': 'physicalrepublican'}, {'address': '0x60e0c36Df17D2753BAb03AFc1c59E34427670e01', 'username': 'fortuitousincision'}, {'address': '0x209a9021993D50Bd767783563C4a9c0cbc601199', 'username': 'ruddyoiler'}, {'address': '0x2c738e7161A072BaD6f5b9a5995D1eAeA5582813', 'username': 'assignedstunner'}, {'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}, {'address': '0xf2a79C9c6f754B2a538836046CDf135C1B11a44f', 'username': 'stolidslag'}]",8,11,"[{'address': '0xB0652EaB67C36F170ab25e422153DDC9297c36bA', 'username': 'cobbledcadet'}, {'address': '0xf0C1B0109865BdAf4Aa490492FC0590B9E7c96c7', 'username': 'horridforeboding'}, {'address': '0xF973134ed7330bA26328b570Ddc06ca9f57B9b43', 'username': 'traditionalarchive'}]"
failed,rejected,$CODEX for a 1.74 ETH investment ,classic,multi,0x95506499FdF750671C751C1E4498a870A2cc1Cd7,governingpreface,CODEX,0xfd26e39807772251c3bb90fb1fcd9ce5b80c5c24,"[{'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}]",8,12,[]
succeeded,succeeded,Short investment in $VOW,classic,multi,0x5226FB987f338956597B62A8096b8AdA60E543AD,crackingvalise,VOW,0x1bbf25e71ec48b84d773809b4ba55b6f4be946fb,"[{'address': '0x5226FB987f338956597B62A8096b8AdA60E543AD', 'username': 'crackingvalise'}, {'address': '0x60e0c36Df17D2753BAb03AFc1c59E34427670e01', 'username': 'fortuitousincision'}, {'address': '0x1B69c4A788aD8f940e624341AB45c731D01190De', 'username': 'highgaze'}, {'address': '0x2c738e7161A072BaD6f5b9a5995D1eAeA5582813', 'username': 'assignedstunner'}, {'address': '0x209a9021993D50Bd767783563C4a9c0cbc601199', 'username': 'ruddyoiler'}, {'address': '0x69Cba612268c4D8452E331534866779174a8E3f2', 'username': 'coytong'}, {'address': '0x5B0D8d68ee7C30aE1c183c027Fea8AA808E019dc', 'username': 'archedupheaval'}, {'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}]",8,14,"[{'address': '0x6EdFeCD2e4dAE3b31d5bFF413bBe44F3a0DAE674', 'username': 'headlongyarmulke'}, {'address': '0xB0652EaB67C36F170ab25e422153DDC9297c36bA', 'username': 'cobbledcadet'}, {'address': '0x1CC1C54314c7feC2c3020a40a6cD9D1C4A44ED90', 'username': 'allegedmist'}, {'address': '0x3358B21f8016732e79D588bC2A8D2f4162778F6c', 'username': 'aquaticpsychosis'}]"
failed,failed,0x9Cf0ED013e67DB12cA3AF8e7506fE401aA14dAd6,classic,multi,0x60e0c36Df17D2753BAb03AFc1c59E34427670e01,fortuitousincision,wCFG,0xc221b7e65ffc80de234bbb6667abdd46593d34f0,"[{'address': '0x60e0c36Df17D2753BAb03AFc1c59E34427670e01', 'username': 'fortuitousincision'}, {'address': '0xCD1EfBAC8e37E92268bA83903026a6C34b3803Db', 'username': 'transientnotary'}, {'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}, {'address': '0x69Cba612268c4D8452E331534866779174a8E3f2', 'username': 'coytong'}, {'address': '0x50e78376E84f4B45285f7d33a145C4849Ed3354d', 'username': 'soothingcandy'}, {'address': '0x209a9021993D50Bd767783563C4a9c0cbc601199', 'username': 'ruddyoiler'}, {'address': '0x4faFB5ea6ec25231cEdA005936fF44B9acf6988c', 'username': 'pedagogicalturkey'}, {'address': '0xa4444aeC32965BCb4d460BA818FD2FA37b508627', 'username': 'swellingweakness'}]",8,18,"[{'address': '0x3358B21f8016732e79D588bC2A8D2f4162778F6c', 'username': 'aquaticpsychosis'}, {'address': '0x379C1E04E9c6769f86e77218b912187638aC7977', 'username': 'sizzlingdiplomacy'}, {'address': '0xBF9FE9379CE3BFfa603eD5B42FaeF6e524091044', 'username': 'high-poweredincrease'}, {'address': '0x02f2A6aB6b86e5c2f1cCD7F5cd30Df55a4493034', 'username': 'exhaustingstaircase'}, {'address': '0xB8A48837132f2921dAA6356Fa9eE028b2De99419', 'username': 'exceptionalrelocation'}, {'address': '0xF973134ed7330bA26328b570Ddc06ca9f57B9b43', 'username': 'traditionalarchive'}]"
succeeded,succeeded,Aggregated rewards option for stakers,social,single,0x2181294C01955E3a8F779882F58E4e4B908D4746,nonalignedresident,,,"[{'address': '0x2181294C01955E3a8F779882F58E4e4B908D4746', 'username': 'nonalignedresident'}, {'address': '0xCD1EfBAC8e37E92268bA83903026a6C34b3803Db', 'username': 'transientnotary'}]",0,0,"[{'address': '0xA23957C3BE995fE680749C76eff9a526760dDE36', 'username': 'immunesquirrel'}]"
failed,rejected,Titan Deployer,classic,multi,0x60e0c36Df17D2753BAb03AFc1c59E34427670e01,fortuitousincision,TITAN,0xc135a4bbf0d5005f4db3b79b84e8861d22003752,"[{'address': '0x60e0c36Df17D2753BAb03AFc1c59E34427670e01', 'username': 'fortuitousincision'}]",8,21,[]
