transaction_type,timestamp,blockchain,service,hash,user,token_symbol,token_address,value
withdrawDeposit,1692973706773,eth,horizon,0x0a38eeeabc7408e1297e862a73ce7d1cc37574d062ff65dc999393fa743500dd,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,eth,,0.000997
deposit,1692971390744,bsc,horizon,0x2e51ae2eff3f56d618d0dfa84eb55e54555c46c32c6e591998d5e7836288cb2d,0x88b6a5b8fa6ff35725e70bad0b7d262bb06e37df,bsc,,0.001
deposit,1692972038940,bsc,horizon,0xbea771dbb6d792e2ac248aaeba3fef9f1c49c55ad4b1d5794a33996732721d2b,0x88b6a5b8fa6ff35725e70bad0b7d262bb06e37df,bsc,,0.01
withdrawDeposit,1692971813481,bsc,horizon,0x9115546958ff1bba66090997d40be8e56d56be7f4eea13d4848d07edc92a932e,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,bsc,,0.000997
deposit,1692971532292,bsc,horizon,0xca88bec2f200db9262863cadb11556d77367c700e67d73fc7776331287b06a58,0x88b6a5b8fa6ff35725e70bad0b7d262bb06e37df,bsc,,0.01
deposit,1692971715244,bsc,horizon,0x4eb79c8eab23fa3dc299d81bbee21d57bf444ee4b93bb0ddf83ae474e22f41d6,0x88b6a5b8fa6ff35725e70bad0b7d262bb06e37df,bsc,,0.001
deposit,1692971572861,bsc,horizon,0xd8dc4811bb06f48ec548df16cab2d079e1cf3d14a985665879ba8e36de6d7bc2,0x88b6a5b8fa6ff35725e70bad0b7d262bb06e37df,bsc,,0.1
withdrawDeposit,1692971893786,bsc,horizon,0x91351977cbbadb8b38d5ddcc53a829b13eec0555e5414b47167fb68e93d3ef72,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,bsc,,0.09970000000000001
withdrawDeposit,1692972320562,bsc,horizon,0xefc60524856a1677d0b1f574836c695f70fb2bc95dbb34e8092c62600806abaa,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,bsc,,0.000997
withdrawDeposit,1692972259673,bsc,horizon,0xd783b58626759a9b6c8d56d8ddbff2fddac229dada20c615d9225570d2934e64,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,bsc,,0.00997
withdrawDeposit,1692971650762,bsc,horizon,0xdc86670a0024df9461467ee280487546366cc0cb3aed4423777154d50136dee8,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,bsc,,0.000997
withdrawDeposit,1692971953911,bsc,horizon,0x5846bd58db7a3a4e14ddcdee20fdb17664a1631db7cc32c00b50454cc9ed88f6,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,bsc,,0.00997
deposit,1692972097977,bsc,horizon,0x64ea1a3052d18903867747709b1a1e97e1f7b9a163fbb061fe41d79739b7a731,0x88b6a5b8fa6ff35725e70bad0b7d262bb06e37df,bsc,,0.1
withdrawDeposit,1692972200684,bsc,horizon,0x322d0f528ed6461bc73cbc1327e3b7fba65defcc67b8689cdc55dfc3e14fec0f,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,bsc,,0.09970000000000001
deposit,1692972120149,bsc,horizon,0x5c0f2e5ce1059c2c1aa8f967b0f19c282ac6112899089cb181d77ff42970cb49,0x88b6a5b8fa6ff35725e70bad0b7d262bb06e37df,bsc,,0.001
deposit,1692974630759,bsc,horizon,0x5d190d3c152094c99bc6f08648950827c57bf4ecc366184f9f4a5dc1c3746dda,0xff8669b9552397410e8520ff22817ccc77edd021,bsc,,0.001
deposit,1692974666945,bsc,horizon,0x97deef44f525b76e1ce7ee709d9884028f428b663b309892f9d4ee81e95e8e48,0xff8669b9552397410e8520ff22817ccc77edd021,bsc,,0.01
withdrawDeposit,1692974966778,bsc,horizon,0x38984033e5e6a97221b1423aec961ddf00d6cfb4e847b36ea4927b03aa7a54dd,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,bsc,,0.00997
deposit,1692975054381,bsc,horizon,0x2afcdafcb712043ed8500dd7549c02d5546fd2fcf2894033db877340628e4ddd,0xff8669b9552397410e8520ff22817ccc77edd021,bsc,,0.01
withdrawDeposit,1692975114624,bsc,horizon,0x8db705cdabb8fc6d8b2d3927cbec62df9ef7d4f1f910c867562fb65151aed7ac,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,bsc,,0.000997
withdrawDeposit,1692975154086,bsc,horizon,0x761203fab2949b04308d4054713fa9919bce83c8c89f5ebb01078c3d677927ae,0xFaf66FBe9bB2028d9A1fAd319D5C756d42E99178,bsc,,0.00997
deposit,1692984335723,eth,horizon,0x213f99afd69c80f13a62913c9c1abd342ae3b069bf6bc567cc020960f85e0215,0x88b6a5b8fa6ff35725e70bad0b7d262bb06e37df,eth,,0.1
