username,isactive,address,type,istypeActive,isDarklist,isActiveDarklist,stakeAmount
fiercejug,True,0xfFa5Aeba892602A8069c9417A2e95cb0498DdF42,powehi,True,True,True,500000000
automotivecoloration,True,0x22E970c8fFFD9303cEaf054eCf9b427112220161,powehi,True,True,True,3400000000
stolidslag,True,0xf2a79C9c6f754B2a538836046CDf135C1B11a44f,powehi,True,True,True,15179000000
soothingcandy,True,0x50e78376E84f4B45285f7d33a145C4849Ed3354d,powehi,True,True,True,13649675385
undulatingmustang,True,0x235Fa4Bf4ef3564a85bb34C74929A3F8c62b298F,powehi,True,True,True,15725000000
nonalignedresident,True,0x2181294C01955E3a8F779882F58E4e4B908D4746,powehi,True,True,True,511433333
coytong,True,0x69Cba612268c4D8452E331534866779174a8E3f2,powehi,True,True,True,1050000000
inexplicablemoral,True,0x97be3550DBEE58d1ddbC8704A038bAA9350f44E1,halo,True,True,True,90000000
raggedoffence,True,0xb2890992e7152106f70176adf93a7CFEdB246880,powehi,True,True,True,600000000
stupendousecosystem,True,0xbbc96d4A68c19b3f23c96d9311E52d6425D333A6,powehi,True,True,True,3197806912
swellingweakness,True,0xa4444aeC32965BCb4d460BA818FD2FA37b508627,powehi,True,True,True,5295679853
high-poweredincrease,True,0xBF9FE9379CE3BFfa603eD5B42FaeF6e524091044,powehi,True,True,True,700000000
regulatedriverbank,True,0x385Aa6a979e9318d07D9318DfF593d9d51AF6703,powehi,True,True,True,3100000000
variousrebate,True,0xe6EcB12EC9a52364f94C8a86aD7274f4b2eDC102,powehi,True,True,True,1706200000
emeritustumbleweed,True,0x68FA315ee01cC9Ce5F63a3e2e631a9B53479c820,powehi,True,True,True,2500050092
soundrejoinder,True,0x050BaE1196B718B38a12e5B076592Db9D8E71Ae4,powehi,True,True,True,2391222604
fanaticalgrandstand,True,0x2Be7b6b1c4bF158192525BC28013d3295057c50f,halo,True,True,True,733725714
punyfather,True,0xce9E7300a6240B273bCC72F96c699B0804F2fd54,powehi,True,True,True,2100000000
geologicalcrucifix,True,0x8B130Dc7A75f24Be64486b03C90CbBc178196c07,halo,True,True,True,120000000
unsavoryinstallation,True,0x0DE8056764Ad8958f34054f11a94ae6CCBf149a0,powehi,True,True,True,2002000000
lewdlanding,True,0x435733c6C9CB9f400EDF11E0bCB6f9151E66f702,powehi,True,True,True,794673077
eccentriccaterer,True,0x4c6F91306c993Ac5864adCf818B1c958Bb19254a,powehi,True,True,True,600000000
highgaze,True,0x1B69c4A788aD8f940e624341AB45c731D01190De,powehi,True,True,True,1099100000
waterycrotch,True,0x91672D174190B423186419Df126dE72bc5AF8DD0,powehi,True,True,True,2500000000
scrapingborough,True,0xf7a98C388D089dCcFba8FC0764ED90d701C86E25,powehi,True,True,True,1000000000
truepredisposition,True,0xF4598765C7594AD655f5C2cfD75b3575F30d6538,halo,True,True,True,365619721
arrestinghouseboy,True,0xb4b7CdB5C3D6F910657E82b0793134C480f95f2F,halo,True,True,True,427356619
exhaustingstaircase,True,0x02f2A6aB6b86e5c2f1cCD7F5cd30Df55a4493034,halo,True,True,True,108000000
fertilizedbreach,True,0x7e47dC1bCFE29640262Edb39BE4663C19BccefC9,powehi,True,True,True,828100000
unseemlyschoolgirl,True,0x99888Acb9BB6603c272B8687ac1C0c4078715575,powehi,True,True,True,1020000000
dictatorialscrub,True,0xD5854b5f8F6A759C749005F7Bf6EA521897B093a,halo,True,True,True,200000000
governmentalcentaur,True,0xD4D7C398150f514fD2e3730B53BF214DED97D213,halo,True,True,True,200000000
electedmainstay,True,0x06FE6883E29C68bB8c2CF7021F2D4Be0B74aED0a,halo,True,True,True,200000000
